"","Date","barcode","longitude","latitude","site","siteLabel","plot_num","treatment","treatmentLabel","exclosure","exclosureLabel","paired","pairedLabel","number","plot","cluster","factorial","vwc","vwc_med","period","period_med","veg_type","veg_type_med","veg_level","veg_level_med","soil_temp","soil_temp_med","plotBC","clusterBC","season","seasonYear","MoYear","year","month","hour","minute","time","CT1","CT2","CT3","CT4","Ct_detects","positive"
"55","2021-04-21 14:49:00","AC09SN11",-119.7167725,35.11382511,0,"C",9,0,"S",1,"N",1,1,NA,"C09","C09SN1","SN",NA,NA,NA,NA,0,1,0,1,81,84,"C09","C09SN1","Spring","Spring_2021","2021-04",2021,4,14,49,14.8166666666667,NA,NA,NA,NA,0,0
"56","2021-04-21 14:55:00","AC09PN11",-119.7168061,35.11385005,0,"C",9,1,"P",1,"N",1,1,NA,"C09","C09PN1","PN",NA,NA,NA,NA,0,0,0,0,75,74,"C09","C09PN1","Spring","Spring_2021","2021-04",2021,4,14,55,14.9166666666667,NA,NA,NA,NA,0,0
"57","2021-04-21 16:31:00","AS01PN21",-119.6692713,35.0822224,1,"S",1,1,"P",1,"N",0,2,NA,"S01","S01PN2","PN",NA,NA,NA,NA,0,0,0,0,77,77,"S01","S01PN2","Spring","Spring_2021","2021-04",2021,4,16,31,16.5166666666667,NA,NA,NA,NA,0,0
"58","2021-04-21 16:54:00","AS01PE11",-119.6693035,35.08245118,1,"S",1,1,"P",0,"E",1,1,NA,"S01","S01PE1","PE",NA,NA,NA,NA,1,1,1,1,79,82,"S01","S01PE1","Spring","Spring_2021","2021-04",2021,4,16,54,16.9,NA,NA,NA,NA,0,0
"59","2021-04-21 17:06:00","AS01SE11",-119.6692839,35.08246879,1,"S",1,0,"S",0,"E",1,1,NA,"S01","S01SE1","SE",NA,NA,NA,NA,1,1,2,3,86,84,"S01","S01SE1","Spring","Spring_2021","2021-04",2021,4,17,6,17.1,NA,NA,NA,NA,0,0
"60","2021-04-22 08:26:00","AS05PN11",-119.6803809,35.08381932,1,"S",5,1,"P",1,"N",1,1,NA,"S05","S05PN1","PN",NA,NA,NA,NA,1,1,1,1,61,61,"S05","S05PN1","Spring","Spring_2021","2021-04",2021,4,8,26,8.43333333333333,34.85,34.89,34.2,33.88,4,1
"61","2021-04-22 08:49:00","AS05SN11",-119.6802974,35.08218187,1,"S",5,0,"S",1,"N",1,1,NA,"S05","S05SN1","SN",NA,NA,NA,NA,0,0,0,0,59,61,"S05","S05SN1","Spring","Spring_2021","2021-04",2021,4,8,49,8.81666666666667,NA,NA,NA,NA,0,0
"62","2021-04-22 09:05:00","AS05SE11",-119.6807346,35.08221517,1,"S",5,0,"S",0,"E",1,1,NA,"S05","S05SE1","SE",NA,NA,NA,NA,1,1,1,2,64,65,"S05","S05SE1","Spring","Spring_2021","2021-04",2021,4,9,5,9.08333333333333,NA,NA,NA,NA,0,0
"63","2021-04-22 09:32:00","AS02PN21",-119.6775995,35.08258993,1,"S",2,1,"P",1,"N",0,2,NA,"S02","S02PN2","PN",NA,NA,NA,NA,0,0,0,0,63,61,"S02","S02PN2","Spring","Spring_2021","2021-04",2021,4,9,32,9.53333333333333,NA,NA,NA,NA,0,0
"64","2021-04-22 09:56:00","AS02PE11",-119.6743708,35.08460265,1,"S",2,1,"P",0,"E",1,1,NA,"S02","S02PE1","PE",NA,NA,NA,NA,1,0,1,0,63,64,"S02","S02PE1","Spring","Spring_2021","2021-04",2021,4,9,56,9.93333333333333,34.66,35.11,35.56,34.8,4,1
"65","2021-04-22 10:14:00","AS02SE11",-119.6748002,35.08415087,1,"S",2,0,"S",0,"E",1,1,NA,"S02","S02SE1","SE",NA,NA,NA,NA,0,1,0,1,66,70,"S02","S02SE1","Spring","Spring_2021","2021-04",2021,4,10,14,10.2333333333333,NA,NA,NA,NA,0,0
"66","2021-04-22 10:57:00","AS03SN11",-119.6747428,35.0800956,1,"S",3,0,"S",1,"N",1,1,NA,"S03","S03SN1","SN",NA,NA,NA,NA,0,0,0,0,68,70,"S03","S03SN1","Spring","Spring_2021","2021-04",2021,4,10,57,10.95,NA,NA,NA,NA,0,0
"67","2021-04-22 11:02:00","AS03PN11",-119.6747373,35.08007991,1,"S",3,1,"P",1,"N",1,1,NA,"S03","S03PN1","PN",NA,NA,NA,NA,0,0,0,0,73,64,"S03","S03PN1","Spring","Spring_2021","2021-04",2021,4,11,2,11.0333333333333,36.99,37.97,35.13,NA,3,1
"68","2021-04-22 11:20:00","AS03SE11",-119.6746063,35.07969563,1,"S",3,1,"P",0,"E",1,1,NA,"S03","S03PE1","PE",NA,NA,NA,NA,1,1,3,3,66,66,"S03","S03SE1","Spring","Spring_2021","2021-04",2021,4,11,20,11.3333333333333,NA,NA,NA,NA,0,0
"69","2021-04-22 11:53:00","AS04PN21",-119.668402,35.07833417,1,"S",4,1,"P",1,"N",0,2,NA,"S04","S04PN2","PN",NA,NA,NA,NA,1,1,2,2,78,71,"S04","S04PN2","Spring","Spring_2021","2021-04",2021,4,11,53,11.8833333333333,NA,NA,NA,NA,0,0
